Year,bank_id,Model,MES,CoVaR,ACoVaR,Size,Lev,Cost_TI,NPA,DSIB,RWA_TA,WPS,ROE,Acquirer,Target,Type,Distance
2022,BOB,BM2,-4.3602192,-2.2299255,-0.846839,14.06080678,14.87607914,26.69023622,6.607753992,0,0.5167582,6.0878889,8.925485,0,0,1,8.562401074
2021,BOB,BM2,-4.120981,-2.0873253,-0.8212827,13.95992667,14.995833,24.6241098,8.870657647,0,0.5979205,6.2065262,1.113,0,0,1,8.730183609
2020,BOB,BM1,-6.2586876,-2.8285118,-0.9226085,13.96213198,16.11433953,21.8681076,9.400049275,0,0.6008817,6.7690974,0.842950979,0,0,1,7.62597421
2019,BOB,BM1,-3.1111175,-2.0212704,-0.7834868,13.5683143,16.99975514,20.13369804,9.613744405,0,0.5060318,4.9562149,0.970545211,1,0,1,7.522593428
2018,BOB,BM1,-1.1948583,-1.9173097,-0.7737763,13.48700617,16.5918552,20.22309741,12.25850936,0,0.6072691,5.0136898,-5.810918941,0,0,1,8.496298332
2017,BOB,BM2,-1.8935022,-1.6832585,-0.7334526,13.45148786,17.24117451,18.98852908,10.45717622,0,0.5433018,5.4149123,3.436267175,0,0,1,11.7863756
2016,BOB,BM1,-3.2771537,-2.0822789,-0.8015392,13.41708533,16.70132895,18.18816106,9.992433804,0,0.5222133,5.6876816,-13.48305684,0,0,1,10.35670865
2015,BOB,BM1,-3.5826993,-2.1354251,-0.8177834,13.4800218,17.94859568,16.20191674,3.718769637,0,0.49197,6.5462172,8.964362,0,0,1,9.949869767
2014,BOB,BM1,-2.8481114,-1.8228662,-0.7673529,13.39924413,18.32686289,16.44392196,2.94176784,0,0.5317835,6.6668564,13.364949,0,0,1,9.339927474
2013,BOB,BM1,-3.9901698,-2.2355538,-0.828545,13.21245166,17.11432749,15.31587175,2.398529901,0,0.5806283,6.3782493,15.074852,0,0,1,8.448335331
2012,BOB,BM1,-2.848909,-2.143464,-0.7989194,13.01103278,16.2799395,15.5871076,1.889380376,0,0.6284237,5.9637129,20.638568,0,0,1,5.667993189
2011,BOB,BM1,-2.0151788,-2.5683283,-0.8603096,12.78939708,17.03122635,18.74798887,1.621772991,0,0.7548286,5.4388589,23.467162,0,0,1,5.579247316
2010,BOB,BM4,-1.5571062,-2.133551,-0.8178861,12.53651496,18.42378207,19.53673481,1.64389542,0,0.9145903,5.0824944,21.856067,0,0,1,7.445248
2009,BOB,BM4,-3.6951476,-3.592003,-1.0221426,12.33126037,17.59915471,20.03481729,1.272344708,0,1.1477456,4.7351078,18.619248,0,0,1,8.862336843
2008,BOB,BM4,-5.625413,-4.2356897,-1.1085468,12.09848474,16.26228781,21.88531356,1.839846943,0,1.5728266,4.5792562,14.578363,0,0,1,8.411053825
2007,BOB,BM4,-4.1794806,-2.9477106,-0.879937,11.87162159,16.54881009,24.49781666,2.469485563,0,2.1640058,4.6317731,12.446239,0,0,1,11.04384501
2006,BOB,BM4,-4.4394575,-2.7308423,-0.8949987,11.63861077,14.45515618,29.16292431,3.895246497,0,2.361581,4.3268251,12.276545,0,0,1,18.50199619
2005,BOB,BM2,-3.5771481,-2.2386324,-0.8334019,11.45809156,16.82096065,25.62206789,7.295993112,0,2.4673154,4.4261679,12.582215,0,0,1,24.62450517
2024,PNB,BM2,-3.333215,-2.1553921,-0.8969637,14.26137197,14.668344,23.7234569,5.729852055,0,0.8829118,6.3023279,7.991592,0,0,1,13.3738358
2023,PNB,BM2,-2.8513734,-1.8357036,-0.8426973,14.19520057,14.63944431,24.7777165,8.740743511,0,0.9719152,6.7188332,2.566983,0,0,1,16.99644717
2022,PNB,BM2,-5.1126608,-2.2176919,-0.8268664,14.08919894,13.76948132,23.22558766,11.77525495,0,1.1551224,6.6715683,3.708707,0,0,1,28.84921049
2021,PNB,BM2,-4.2696546,-2.0036557,-0.7105856,14.04712423,13.8626558,21.89841531,14.12258192,0,1.1608167,7.1008307,2.288,0,0,1,29.43812512
2020,PNB,BM2,-5.2131018,-2.7177382,-0.824602,13.62998296,13.32102948,18.98300371,14.21448287,0,1.146437,5.0364511,0.627552609,1,0,1,30.28714304
2019,PNB,BM2,-3.7846305,-2.0322097,-0.7952512,13.5605531,17.30295192,19.66082901,15.5024859,0,1.2211908,5.2459755,-23.23624456,0,0,1,27.10448594
2018,PNB,BM2,-1.5074958,-1.9377329,-0.7994522,13.54871563,18.6449919,23.75153335,18.37909563,0,0.7836262,5.4453614,-29.53603144,0,0,1,28.35439447
2017,PNB,BM2,-2.5882135,-1.7971218,-0.8237819,13.48746548,17.11101967,16.6811725,12.53429873,0,0.5067162,5.5951664,3.295215218,0,0,1,24.19006552
2016,PNB,BM4,-3.8601889,-2.1420754,-0.8683639,13.41113054,17.4207265,18.66647824,12.89776951,0,0.521667,5.4797408,-10.27112931,0,0,1,18.86940655
2015,PNB,BM4,-3.8818895,-2.2022405,-0.906583,13.31022555,15.43861311,20.09640403,6.547759855,0,0.5034971,5.3146836,8.166965,0,0,1,13.91574296
2014,PNB,BM4,-2.6533067,-1.881337,-0.8541631,13.21843675,15.33403051,19.53606285,5.249626452,0,0.5710127,5.289905,9.74905,0,0,1,14.80006214
2013,PNB,BM4,-4.226492,-2.2755472,-0.917965,13.07934676,14.65707247,17.7080611,4.271544809,0,0.580205,5.2702163,15.696774,0,0,1,14.08768328
2012,PNB,BM4,-3.1596356,-2.1640162,-0.8692895,13.03504435,16.47260321,17.21477119,3.147286367,0,0.5861075,5.8818568,19.804585,0,0,1,11.17802943
2011,PNB,BM4,-2.0582433,-2.52726,-0.8812533,12.84350953,17.58952201,20.79875701,1.794840941,0,0.6742407,5.5716832,22.601726,0,0,1,10.84519917
2010,PNB,BM2,-1.9856257,-1.9997986,-0.6976787,12.60025021,16.73724207,19.02314874,1.707013118,0,0.750663,5.2524547,24.124607,0,0,1,10.12455511
2009,PNB,BM2,-4.6882976,-3.3957986,-0.8702558,12.41681408,16.85033838,18.95376785,1.772893965,0,0.9101561,5.1624443,22.919203,0,0,1,10.24679287
2008,PNB,BM2,-5.249624,-4.1529792,-1.149484,12.20116241,16.15641858,21.67846363,2.74451758,0,1.1770227,5.0136788,18.008091,0,0,1,12.73674966
2007,PNB,BM2,-4.8599257,-2.9663694,-0.9392167,11.99795622,15.564479,25.65241195,3.452945849,0,1.5795354,5.1858718,15.547125,0,0,1,15.32031477
2006,PNB,BM2,-4.0201995,-2.6955252,-0.9013286,11.88633137,15.49293971,27.84351958,4.102278737,0,1.8163159,5.5289846,16.413945,0,0,1,19.05370515
2005,PNB,BM2,-2.4471935,-2.1982548,-0.800028,11.74595028,15.46828242,32.34131542,5.96446478,0,1.6898634,5.6143429,21.409075,0,0,1,21.3100964
2024,CAN,BM1,-3.6656539,-2.2018565,-0.9102981,14.21532018,17.15309918,20.46134234,4.226990124,0,0.7471004,6.0384663,18.129246,0,0,1,15.40807467
2023,CAN,BM1,-2.6015473,-1.8945276,-0.8551218,14.11244885,18.28262199,21.78712746,5.350079926,0,0.8081906,6.1842033,15.178757,0,0,1,14.24805218
2022,CAN,BM1,-5.023904,-2.1957422,-0.868307,14.02098279,18.57632001,23.03871913,7.344881512,0,0.9913951,6.3234487,9.08573,0,0,1,15.48411067
2021,CAN,BM1,-4.2392462,-2.0122318,-0.7974572,13.95846309,19.59202454,22.96566279,8.929480188,0,1.082993,6.4881484,4.622,0,0,1,15.41273759
2020,CAN,BM1,-8.5495937,-2.7460831,-0.9310693,13.49237365,18.42250267,20.40108032,8.039792525,0,1.0426524,4.4747703,-5.924764221,1,0,1,11.13721384
2019,CAN,BM1,-4.1953921,-2.1324564,-0.8653017,13.45133137,19.20452876,19.59754433,8.829972296,0,0.9110667,4.6484819,0.966857339,0,0,1,8.415114528
2018,CAN,BM1,-1.7540031,-2.0412554,-0.8608251,13.33243969,17.32590733,19.83182342,11.84214549,0,0.8991094,4.4494797,-12.18708265,0,0,1,8.44760871
2017,CAN,BM1,-2.1231882,-1.8341684,-0.8345795,13.27683305,17.32255107,17.39257417,9.626089185,0,0.7959561,4.457342,3.436801612,0,0,1,10.62494295
2016,CAN,BM1,-3.4665735,-2.1969392,-0.8987671,13.22304235,17.49698668,15.3217554,9.400692389,0,0.8862547,4.7538704,-8.864529036,0,0,1,11.25449603
2015,CAN,BM1,-4.4573306,-2.2565122,-0.9251247,13.2140316,17.20068319,15.03831729,3.893138048,0,0.8211619,5.0227713,8.791975,0,0,1,10.36867274
2014,CAN,BM1,-3.6902284,-2.0112313,-0.8884501,13.10607515,16.60769663,13.98564589,2.494870169,0,0.8820948,4.9304382,8.947848,0,0,1,7.303511105
2013,CAN,BM1,-4.5107283,-2.4013373,-0.9608347,12.92960986,16.57472898,13.81106551,2.566314264,0,0.8664107,4.7896561,12.075842,0,0,1,9.161597021
2012,CAN,BM1,-2.9224357,-2.3584108,-0.942774,12.83243931,16.4901245,13.83656,1.748403555,0,0.8604541,5.0678123,15.364991,0,0,1,11.60379232
2011,CAN,BM4,-2.6454959,-2.7253721,-0.9881328,12.72470231,16.76386698,17.16137033,1.470856784,0,0.8573919,5.2251283,23.196211,0,0,1,11.05613364
2010,CAN,BM1,-2.1853372,-2.148826,-0.8312672,12.48650758,18.04423331,16.09275925,1.533783528,0,1.1531519,4.9432361,22.481255,0,0,1,12.80247491
2009,CAN,BM1,-3.9501139,-3.4692655,-1.0341549,12.29977154,17.99229653,15.77563274,1.559276598,0,1.3238593,4.5996371,18.252564,0,0,1,10.86385057
2008,CAN,BM1,-5.2872021,-4.2687803,-1.2608454,12.103645,17.19240268,17.00595665,1.315312805,0,1.7140431,4.6406495,15.008831,0,0,1,8.284482659
2007,CAN,BM4,-5.1138357,-3.1279146,-1.0406162,12.01950836,16.02871021,20.01719963,1.508492215,0,1.8299698,5.2793772,16.250623,0,0,1,10.93125499
2006,CAN,BM4,-6.2519149,-2.7955838,-0.9847448,11.7967641,18.62275203,23.40796196,2.250179784,0,2.7511955,5.3958618,20.288504,0,0,1,12.52209467
2005,CAN,BM4,-3.0033608,-2.2638785,-0.8766042,11.61100611,18.05630154,23.13535293,3.887198121,0,2.90842,5.2676348,19.532498,0,0,1,14.79800608
2024,AXIS,BM4,-2.8360965,-2.1526307,-0.8936667,14.20566478,9.778850731,26.71506482,1.469527799,0,0.2512882,4.9170369,17.984369,0,0,0,21.62714718
2023,AXIS,BM4,-0.9035733,-1.7968893,-0.7698726,14.09111413,10.5035931,38.7914615,1.981530542,0,0.2648164,4.9660866,7.963465,0,0,0,19.93873136
2022,AXIS,BM4,-2.6281433,-2.1697248,-0.8657164,13.97714353,10.20567286,28.58535677,2.573129205,0,0.2817258,4.7842881,12.017395,0,0,0,17.40293384
2021,AXIS,BM4,-3.3414018,-1.9394736,-0.7738243,13.80222026,9.712287349,24.3025926,3.544983117,0,0.3247634,4.4799149,7.063,0,0,0,17.47877153
2020,AXIS,BM3,-8.3648592,-2.7973687,-1.1031505,13.72685945,10.77325552,22.13668155,4.518377102,0,0.3517679,4.5803425,2.146380408,0,0,0,18.89632334
2019,AXIS,BM4,-2.0367453,-2.075612,-0.8795682,13.5936119,12.01321286,23.24473267,5.311414417,0,0.4053734,4.2561227,7.188060876,0,0,0,23.42355945
2018,AXIS,BM4,-1.6868588,-1.9822629,-0.8533859,13.44637195,10.89647334,24.65371118,6.792709771,0,0.4480951,3.8462144,0.462522246,0,0,0,29.60366089
2017,AXIS,BM4,-1.3902801,-1.7173856,-0.724249,13.30712806,10.78623124,21.69509654,5.210405439,0,0.5327072,3.729296,6.755467479,0,0,0,23.55781151
2016,AXIS,BM4,-2.6339034,-2.1620638,-0.9112073,13.19899292,10.15370941,20.057424,1.708523477,0,0.5773859,3.5468139,16.81018654,0,0,0,24.98538507
2015,AXIS,BM4,-4.2467082,-2.2502801,-0.9601529,13.04317383,10.33949032,20.99220061,1.361535564,0,0.6801525,3.4179296,17.751721,0,0,0,20.87063198
2014,AXIS,BM4,-1.8245833,-1.9730655,-0.9039076,12.85642946,10.02721114,20.76616456,1.290939996,0,0.7628901,3.292381,17.433929,0,0,0,24.43639055
2013,AXIS,BM4,-4.2499396,-2.4348126,-1.0687544,12.73834853,10.28639904,20.49654042,1.192258307,0,0.808277,3.4000614,18.52563,0,0,0,22.14105787
2012,AXIS,BM4,-3.5615935,-2.3706138,-1.069528,12.56244482,12.52284296,21.91183427,1.178987135,0,1.0590422,3.4105935,20.294056,0,0,0,22.55661228
2011,AXIS,BM4,-3.2124687,-2.795869,-1.2133378,12.39963649,12.77517769,24.15445843,1.278595254,0,1.3371416,3.3696944,19.338797,0,0,0,25.10082867
2010,AXIS,BM4,-2.8956412,-2.1179691,-0.9251439,12.10430485,11.25909027,23.80498653,1.392844755,0,1.4195536,2.9766718,19.151475,0,0,0,26.38031708
2009,AXIS,BM4,-6.479425,-3.630301,-1.4183551,11.90308774,14.46157076,20.81369794,1.08436276,0,1.7752186,2.8887102,19.12364,0,0,0,25.26123534
2008,AXIS,BM4,-7.0822687,-4.5989512,-1.8449513,11.60439052,12.49364003,24.48556887,0.811365799,0,2.3775924,2.639295,17.596944,0,0,0,27.1051529
2007,AXIS,BM4,-3.6325011,-3.1990269,-1.3122574,11.20173203,21.53226162,22.1975554,1.110150721,0,3.3227402,2.1797176,20.962017,0,0,0,27.03169487
2006,AXIS,BM4,-3.581441,-2.8661729,-1.1913159,10.81438611,17.23408375,22.49737786,1.665621611,0,5.0577168,1.8530914,18.280116,0,0,0,35.10962274
2005,AXIS,BM4,-2.0890217,-2.2448362,-0.9346423,10.53857361,15.58624925,24.84548785,1.981882119,0,5.7299346,1.7257673,18.806946,0,0,0,41.90890402
2024,BOI,BM1,-3.709514,-2.0263134,-0.7692139,13.72405067,13.24896967,22.57212982,4.983439177,0,2.9419219,3.3953213,9.883227,0,0,1,7.453036313
2023,BOI,BM1,-2.5474562,-1.7185197,-0.7141535,13.6116249,13.82986472,25.53932804,7.305491679,0,3.0912325,3.5115241,7.051489,0,0,1,8.020618252
2022,BOI,BM2,-4.6235034,-2.111791,-0.7076272,13.50710049,13.32482317,26.00911623,9.97900194,0,3.3840235,3.6546705,6.754221,0,0,1,11.97577077
2021,BOI,BM2,-3.8704396,-1.9229003,-0.6332528,13.49510754,15.88808355,22.84740377,13.77436492,0,3.0245007,4.0250352,4.827,0,0,1,18.31524443
2020,BOI,BM2,-5.3606159,-2.6385659,-0.7720455,13.39543242,14.99431112,21.30055126,14.77713368,0,3.8082947,3.974978,-6.916897541,0,0,1,14.36563414
2019,BOI,BM2,-4.2814036,-1.9486232,-0.7211545,13.34586342,15.00013294,22.5073549,15.84418842,0,3.1109737,4.0418777,-14.36615201,0,0,1,11.90905452
2018,BOI,BM2,-1.8934919,-1.854751,-0.7159079,13.32051699,17.15148447,20.776476,16.57691781,0,2.2106237,4.4162638,-18.22979237,0,0,1,10.69562016
2017,BOI,BM2,-2.2297316,-1.6730501,-0.6910723,13.34759956,20.35774608,19.24703436,13.21638391,0,1.3881092,4.8601407,-5.044826286,0,0,1,8.775996005
2016,BOI,BM1,-3.4968581,-2.0470654,-0.7567013,13.32107312,19.66603275,20.5538956,13.06891787,0,1.1157464,5.082951,-19.49786417,0,0,1,8.88882296
2015,BOI,BM1,-5.1242756,-2.1157906,-0.7848286,13.33537216,19.67446485,16.97050901,5.390285297,0,1.0026887,5.6382846,5.56926,0,0,1,8.998379386
2014,BOI,BM1,-3.7719972,-1.8365811,-0.7571716,13.25897288,19.15545192,15.87478635,3.154628046,0,1.1251709,5.5896447,10.138218,0,0,1,10.50386911
2013,BOI,BM1,-5.4075979,-2.2169982,-0.8265784,13.02277002,18.92297694,14.94478169,2.991880578,0,1.1962298,5.1393832,12.252006,0,0,1,7.229905226
2012,BOI,BM1,-3.816151,-2.131454,-0.8164226,12.85979132,18.3445959,15.53576196,2.905138629,0,1.2502604,4.9308692,13.999179,0,0,1,8.536460808
2011,BOI,BM4,-2.6595468,-2.4931791,-0.8564101,12.76903297,20.30993317,20.77700605,2.63801085,0,1.280414,5.3221598,15.790947,0,0,1,9.033230956
2010,BOI,BM1,-2.5652927,-1.9943879,-0.6842833,12.5244044,19.32302026,17.89646721,3.314652519,0,1.4780912,4.8402324,12.559598,0,0,1,6.456027088
2009,BOI,BM1,-5.1059779,-3.3352336,-0.87805,12.32608327,16.71012095,15.94890518,1.707215759,0,1.7926189,4.6689414,24.973487,0,0,1,7.895236836
2008,BOI,BM4,-4.2428123,-4.079374,-1.125939,12.09419079,16.88765461,18.27639911,1.68215832,0,2.4425779,4.5183493,24.378903,0,0,1,8.982309502
2007,BOI,BM4,-5.8141107,-2.8755053,-0.9142894,11.86229271,24.05563413,24.84399985,2.419605719,0,2.9294092,4.4451078,20.647886,0,0,1,13.07870522
